,Unnamed: 0_x,ZIPCODE,CUISINECODE,VIOLCODE,SCORE,CURRENTGRADE,GRADEDATE,Unnamed: 0_y,geocode
170478,320727,10002,20.0,02G,43.0,,,1,"(40.7135097, -73.9859414)"
170479,320728,10002,20.0,08A,19.0,B,2012-02-08 00:00:00,1,"(40.7135097, -73.9859414)"
170480,320729,10002,20.0,04J,61.0,,,1,"(40.7135097, -73.9859414)"
170481,320730,10002,20.0,06A,61.0,,,1,"(40.7135097, -73.9859414)"
170482,320731,10002,20.0,06C,18.0,,,1,"(40.7135097, -73.9859414)"
170483,320732,10002,20.0,04M,37.0,,,1,"(40.7135097, -73.9859414)"
170484,320733,10002,20.0,09C,37.0,,,1,"(40.7135097, -73.9859414)"
170485,320757,10002,14.0,06F,12.0,,,1,"(40.7135097, -73.9859414)"
170486,320758,10002,14.0,02G,13.0,A,2011-02-10 00:00:00,1,"(40.7135097, -73.9859414)"
170487,320759,10002,14.0,10F,22.0,,,1,"(40.7135097, -73.9859414)"
170488,320760,10002,14.0,04H,7.0,A,2011-06-21 00:00:00,1,"(40.7135097, -73.9859414)"
170489,320761,10002,14.0,02G,12.0,A,2011-10-24 00:00:00,1,"(40.7135097, -73.9859414)"
170490,320762,10002,14.0,06E,17.0,,,1,"(40.7135097, -73.9859414)"
170491,320763,10002,14.0,08A,10.0,A,2012-10-22 00:00:00,1,"(40.7135097, -73.9859414)"
170492,320848,10002,48.0,99B,21.0,,,1,"(40.7135097, -73.9859414)"
170493,320849,10002,48.0,04H,16.0,,,1,"(40.7135097, -73.9859414)"
170494,320850,10002,48.0,06C,41.0,C,2011-12-06 00:00:00,1,"(40.7135097, -73.9859414)"
170495,320851,10002,48.0,02G,29.0,,,1,"(40.7135097, -73.9859414)"
170496,320854,10002,20.0,06A,26.0,C,2011-10-17 00:00:00,1,"(40.7135097, -73.9859414)"
170497,320855,10002,20.0,05D,30.0,C,2012-03-21 00:00:00,1,"(40.7135097, -73.9859414)"
170498,320856,10002,20.0,06E,30.0,C,2012-03-21 00:00:00,1,"(40.7135097, -73.9859414)"
170499,320857,10002,20.0,06A,34.0,,,1,"(40.7135097, -73.9859414)"
170500,320858,10002,20.0,06B,34.0,,,1,"(40.7135097, -73.9859414)"
170501,321615,10002,8.0,08A,32.0,,,1,"(40.7135097, -73.9859414)"
